# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
2 5 1 8f563b
2 0 2 8f563b
2 1 2 8f563b
2 2 2 8f563b
2 3 2 8f563b
2 4 2 8f563b
2 5 2 8f563b
2 0 3 8f563b
2 1 3 8f563b
2 2 3 8f563b
2 3 3 8f563b
2 4 3 8f563b
2 5 3 8f563b
