# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-8 2 0 000000
-7 2 0 000000
-10 3 0 000000
-9 3 0 000000
-8 3 0 000000
-7 3 0 000000
-10 4 0 000000
-9 4 0 000000
-8 4 0 000000
-7 4 0 000000
-10 5 0 000000
-9 5 0 000000
-8 5 0 000000
-7 5 0 000000
-10 0 1 8f563b
-7 0 1 8f563b
-10 1 1 8f563b
-7 1 1 8f563b
-10 2 1 8f563b
-7 2 1 8f563b
-10 0 2 8f563b
-7 0 2 8f563b
-10 1 2 8f563b
-7 1 2 8f563b
-10 2 2 8f563b
-7 2 2 8f563b
-10 0 3 8f563b
-7 0 3 8f563b
-10 1 3 8f563b
-7 1 3 8f563b
-10 2 3 8f563b
-7 2 3 8f563b
-10 0 4 8f563b
-7 0 4 8f563b
-10 1 4 8f563b
-7 1 4 8f563b
-10 2 4 8f563b
-7 2 4 8f563b
